nct_id,source,condition,pmid,doi,title,publication_year,is_rct
NCT01961661,pubmed,cystic fibrosis,24586292,10.1371/journal.pone.0087796,Disrupted intestinal microbiota and intestinal inflammation in children with cystic fibrosis and its restoration with Lactobacillus GG: a randomised clinical trial.,2014,True
NCT00630812,pubmed,cystic fibrosis,22198974,10.1164/rccm.201109-1666OC,Long-term inhaled dry powder mannitol in cystic fibrosis: an international randomized study.,2012,True
NCT00749866,pubmed,cystic fibrosis,20870753,10.1164/rccm.201005-0756OC,A randomized controlled trial of nebulized gentamicin in non-cystic fibrosis bronchiectasis.,2011,True
NCT00104520,pubmed,cystic fibrosis,18658109,10.1164/rccm.200712-1804OC,Inhaled aztreonam lysine for chronic airway Pseudomonas aeruginosa in cystic fibrosis.,2008,True
NCT01802489,pubmed,multiple sclerosis,29172994,10.1177/1352458517742979,Amiloride does not protect retinal nerve fibre layer thickness in optic neuritis in a phase 2 randomised controlled trial.,2019,True
NCT02673827,pubmed,multiple sclerosis,27598379,10.1590/1518-8345.1257.2789,The effects of progressive muscular relaxation as a nursing procedure used for those who suffer from stress due to multiple sclerosis.,2016,True
NCT01451593,pubmed,multiple sclerosis,26822749,10.1016/S1474-4422(16)00004-1,"Phenytoin for neuroprotection in patients with acute optic neuritis: a randomised, placebo-controlled, phase 2 trial.",2016,True
NCT06539260,pubmed,Parkinson disease,40646117,10.1038/s41598-025-10821-5,Impact of vitamin D3 supplementation on motor functionality and the immune response in Parkinson's disease patients with vitamin D deficiency.,2025,True
NCT03830528,pubmed,Parkinson disease,36683291,10.1002/cpdd.1222,"Safety, Tolerability, and Pharmacokinetics of the Novel Adenosine A",2023,True
NCT02708186,pubmed,Parkinson disease,33714847,10.1016/j.sleep.2021.02.038,Nelotanserin as symptomatic treatment for rapid eye movement sleep behavior disorder: a double-blind randomized study using video analysis in patients with dementia with Lewy bodies or Parkinson's dis,2021,True
NCT02535221,pubmed,breast cancer,40331570,10.1177/10732748251339958,A Non-Inferior Randomized Trial of Neoadjuvant Endocrine Therapy Compared to Neoadjuvant Chemotherapy in Premenopausal Patients With Hormone-Responsive and HER2-Negative Lymph Node-Negative Breast Can,2025,True
NCT01349842,pubmed,breast cancer,33473163,10.1038/s41416-020-01227-3,Clinical utility of circulating tumour cell-based monitoring of late-line chemotherapy for metastatic breast cancer: the randomised CirCe01 trial.,2021,True
NCT01622361,pubmed,breast cancer,32460816,10.1186/s13058-020-01288-5,"Efficacy of neoadjuvant endocrine therapy compared with neoadjuvant chemotherapy in pre-menopausal patients with oestrogen receptor-positive and HER2-negative, lymph node-positive breast cancer.",2020,True
NCT03024697,pubmed,breast cancer,29576125,10.1016/j.bja.2017.11.112,"Single-shot pectoral plane (PECs I and PECs II) blocks versus continuous local anaesthetic infusion analgesia or both after non-ambulatory breast-cancer surgery: a prospective, randomised, double-blin",2018,True
NCT01515124,pubmed,breast cancer,28739540,10.1016/j.cct.2017.07.017,The women in steady exercise research (WISER) survivor trial: The innovative transdisciplinary design of a randomized controlled trial of exercise and weight-loss interventions among breast cancer sur,2017,True
NCT02240472,pubmed,breast cancer,28549453,10.1186/s12885-017-3361-y,Survival and axillary recurrence following sentinel node-positive breast cancer without completion axillary lymph node dissection: the randomized controlled SENOMAC trial.,2017,True
NCT01409720,pubmed,breast cancer,27464793,10.1186/s13014-016-0675-x,Resistance training concomitant to radiotherapy of spinal bone metastases - survival and prognostic factors of a randomized trial.,2016,True
NCT00567554,pubmed,breast cancer,25223482,10.1093/annonc/mdu455,Survival after neoadjuvant chemotherapy with or without bevacizumab or everolimus for HER2-negative primary breast cancer (GBG 44-GeparQuinto)†.,2014,True
NCT00418457,pubmed,breast cancer,25009197,10.1093/bja/aet581,Differential effects of serum from patients administered distinct anaesthetic techniques on apoptosis in breast cancer cells in vitro: a pilot study.,2014,True
NCT00790894,pubmed,breast cancer,23935969,10.1371/journal.pone.0069256,Ixabepilone administered weekly or every three weeks in HER2-negative metastatic breast cancer patients; a randomized non-comparative phase II trial.,2013,True
