dataset_id,review_doi,conditions,n_studies,sample_analyses,search_keywords
CD013059_pub2_data,10.1002/14651858.CD013059.pub2,mental_health,18,"Depressive symptomatology | Treatment non-acceptability | Quality of life and psychological well-being | Anxious symptomatology | Depressive symptomatology (end-of-intervention) | Depressive symptomatology, therapeutic contact (weeks) | Depressive symptomatology, therapeutic contact (number of sessions) | Depressive symptomatology, therapeutic contact (total treatment dose)",mental_health
CD013071_pub2_data,10.1002/14651858.CD013071.pub2,cardiovascular,28,"Erectile function (AMS sexual) | Erectile function (IIEF) | Erectile function (conversion to IIEF-EF) | Sexual quality of life (AMS total) | Sexual quality of life (IIEF-overall satisfaction) | Cardiovascular mortality | Treatment withdrawal due to adverse events | Prostate-related events | Lower urinary tract symptoms | Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF) | Cardiovascular mortality (subgroup: age and testosterone level) | Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF) | Sexual quality of life (subgroup: metabolic syndrome (MS), AMS total) | Sexual quality of life (subgroup: metabolic syndrome (MS), IIEF - overall satisfaction) | Cardiovascular mortality (subgroup: metabolic syndrome (MS)) | Erectile function (conversion to IIEF-EF; sensitivity analysis) | Sexual quality of life (AMS total; sensitivity analysis) | Sexual quality of life (IIEF-overall satisfaction; sensitivity analysis) | Treatment withdrawal due to adverse events (sensitivity analysis) | Prostate-related events (sensitivity analysis) | Lower urinary tract symptoms (sensitivity analysis) | Erectile function (IIEF-EF) | Erectile function (IIEF-5) | Erectile function | Sexual quality of life (IIEF - overall satisfaction)",cardiovascular
CD013078_pub2_data,10.1002/14651858.CD013078.pub2,pain,6,Pain intensity at the end of the treatment (6 months) | Function at the end of treatment | Function at 6 months' follow-up | Pain intensity at the end of treatment | Pain intensity at 6 months | Pain intensity at 12 months' follow-up | Function at end of treatment | Function at 12 months' follow-up | Global assessment treatment success at the end of treatment | Global assessment treatment success at 6 months' follow-up | Global assessment treatment success at 12 months' follow-up | Return to sport at 12 months' follow-up | Muscle strength at the end of treatment,pain
CD013105_pub2_data,10.1002/14651858.CD013105.pub2,"hypertension, infection, pain, gastrointestinal",29,Awareness of prolapse  | Repeat surgery for recurrent prolapse | Objective failure at any site  | POP-Q assessment  | Adverse events  | Patient-reported outcome measures  | Perioperative outcomes  | Bladder function  | Perioperative outcomes | Awareness of prolapse   | Bowel function  | Postoperative pain  | Patient Global impression of Improvement (PGI-I) | Awareness of prolapse | Objective failure at any site,hypertension OR infection OR pain OR gastrointestinal
CD013111_pub2_data,10.1002/14651858.CD013111.pub2,pregnancy,5,Metformin plus progestin compared to progestin. Live birth rate. RCTs | Metformin plus progestin compared to progestin. Complete pathological response rate (12-16 weeks). RCTs | Metformin plus progestin compared to progestin.  Pregnancy rate. RCTs | Metformin plus progestin compared to progestin. Surgery for persistent/progressive disease (hysterectomy). RCTs | Metformin plus progestin compared to progestin. Severe adverse events grade 3-4. | Levonorgestrel intrauterine system compared to oral progestin. Live birth rate | Levonorgestrel intrauterine system compared to oral progestin.Complete pathological response rate.  | Levonorgestrel intrauterine system compared to oral progestin.Severe adverse events (weight gain) | Levonorgestrel intrauterine system compared to oral progestin. Complete pathological response rate.  | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin. Live birth rate. | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin. Complete pathological response rate | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin. Severe adverse events (weight gain) | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin. Surgery  for persistent/progressive disease (hysterectomy) | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin. (EC) Live birth rate | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin.(EC) Complete pathological response rate | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin.(EC). Severe adverse event (weight gain) | Oral progestin plus levonorgestrel intrauterine system compared to oral progestin.(EC) Surgery for persistent/progressive disease (Hysterectomy),pregnancy
CD013158_pub2_data,10.1002/14651858.CD013158.pub2,"respiratory, pregnancy",3,Mortality prior to hospital discharge | Bronchopulmonary dysplasia | Surfactant utilization (number of infants receiving surfactant) | Any pneumothorax | Retinopathy of prematurity (all grades),respiratory OR pregnancy
CD013166_pub3_data,10.1002/14651858.CD013166.pub3,other,21,Erectile function  | Discontinuation from treatment | Treatment-related adverse events | Penile rigidity | Subgroup analysis by PDE-5i response status: erectile function | Subgroup analysis by PDE-5i response status: discontinuation from treatment | Subgroup analysis by PDE-5i response status: treatment-related adverse events | Erectile function,other
CD013197_pub2_data,10.1002/14651858.CD013197.pub2,pain,40,All-cause mortality short-term | Health-related quality of life short-term | Health-related quality of life medium-term | Serious adverse events (SAEs) start of surgery until eight hours after surgery | Serious adverse events (SAEs) short-term | Non-serious adverse events (nSAEs) start of surgery until eight hours after surgery | Non-serious adverse events (nSAEs) short-term | Readmissions within three months after surgery | Postoperative pain one hour after surgery or at postanaesthesia care unit (PACU) | Postoperative pain 24 hours after surgery | Postoperative pain one week after surgery | Measures of early postoperative recovery: length of hospital stay | Operating time | Postoperative pain one hour after surgery or at PACU: subgroup BMI | Postoperative pain 24 hours after surgery: subgroup BMI | Postoperative pain one hour after surgery or at PACU: subgroup intra-abdominal pressure | Postoperative pain 24 hours after surgery: subgroup intra-abdominal pressure | Serious adverse events (sensitivity analysis) | Non-serious adverse events (sensitivity analysis),pain
CD013232_pub2_data,10.1002/14651858.CD013232.pub2,"diabetes, cancer, cardiovascular, respiratory, infection, mental_health, pain, gastrointestinal, neurological, renal, dermatology",128,Irritability | Relapse | Improvement | Aggression | Self-injury | Adverse effects: cardiovascular | Adverse effects: gastrointestinal | Adverse effects: immune system | Adverse effects: metabolic (dichotomous) | Adverse effects: metabolic (continuous) | Adverse effects: musculoskeletal | Adverse effects: neurological | Adverse effects: psychological | Adverse effects: respiratory | Adverse effects: skin | Adverse effects: urinary | Quality of life | Tolerability/acceptability: loss to follow-up | Subgroup analysis: age - irritability | Subgroup analysis: age - aggression | Subgroup analysis: cognitive ability - irritability | Adverse effects: skin  | Adverse effects: other | Subgroup analyses: gender - irritability | Adverse effects: neurological (dichotomous) | Adverse effects: neurological (continuous) | Adverse effects: psychological (dichotomous) | Subgroup analyses: age - irritability | Adverse effect: immune system | Adverse effects: metabolic | Adverse effect: musculoskeletal | Serious adverse events | Adverse effects: cardiovascular (tachycardia) | Tolerability | Adverse Effects: neurological | Irritability (continuous) | Irritability (dichotomous) | Adverse events: metabolic | Adverse effects: musculoskeletal pain | Adverse events: other | Adverse events: psychological | Adverse events: respiratory | Subgroup analysis: age - irritability (continuous) | Irritabilty (continuous) | Adverse effects: immune System | Adverse effects: respiratory system | Other adverse effects | Subgroup analyses: age - irritability (option 1) | Subgroup analyses: age - irritability (option 2) | Subgroup analyses: age - self-injury (option 1) | Subgroup analyses: age - self-injury (option 2) | Tolerability/acceptabiity: loss to follow-up,diabetes OR cancer OR cardiovascular OR respiratory OR infection OR mental_health OR pain OR gastrointestinal OR neurological OR renal OR dermatology
CD013255_pub2_data,10.1002/14651858.CD013255.pub2,"cardiovascular, neurological",45,Sinus rhythm until hospital discharge or end of study follow-up (paroxysmal AF) | Acute procedural success (paroxysmal AF) | Sinus rhythm until hospital discharge or end of study follow-up (persistent AF) | 30-day all-cause mortality | 30-day cardiovascular mortality | Stroke or systemic embolism at 30 days | Sinus rhythm until hospital discharge or end of study follow-up (atrial flutter) | Acute procedural success (atrial flutter) | Acute procedural success (persistent AF),cardiovascular OR neurological
CD013278_pub3_data,10.1002/14651858.CD013278.pub3,"hypertension, respiratory, infection, pregnancy, mental_health, gastrointestinal, neurological",18,All-cause mortality during hospital stay | Surgical PDA ligation or transcatheter occlusion | Receipt of any pharmacotherapy for a hs-PDA | Receipt of rescue medical treatment for a hs-PDA | Chronic lung disease (CLD) | Duration of ventilator support (days) | Duration of need for supplementary oxygen (days) | Postnatal corticosteroid use for CLD any time during hospital stay | Pneumothorax | Intraventricular hemorrhage (IVH; grades I to IV) | Severe IVH (grades III and IV) | Periventricular leukomalacia (PVL; any grade) | Necrotizing enterocolitis (NEC; stage 2 or greater) | Spontaneous intestinal perforation | Time to full enteral feeds (postnatal age at time of achieving full enteral feeds) | Time to regain birth weight (days) | Severe retinopathy of prematurity (ROP) | Definite sepsis | Oliguria | Receipt of repeat courses of pharmacotherapy for a persistent hs-PDA | Pulmonary hemorrhage | Pulmonary hypertension | IVH (grades I to IV) | PVL (any grade) | NEC (stage 2 or greater) | Gastrointestinal bleeding within seven days of the first dose of pharmacotherapy | Severe ROP | Duration of hospitalization | Moderate/severe neurodevelopmental impairment at 18 to 24 months | Moderate/severe cognitive delay at 18 to 24 months | Moderate/severe motor delay at 18 to 24 months | Moderate/severe language delay at 18 to 24 months | Moderate/severe cerebral palsy at 18 to 24 months,hypertension OR respiratory OR infection OR pregnancy OR mental_health OR gastrointestinal OR neurological
CD013284_pub2_data,10.1002/14651858.CD013284.pub2,respiratory,8,"Rate of moderate or severe exacerbations | Rate of moderate or severe exacerbations (stratified by baseline 25(OH)D) | Rate of moderate or severe exacerbations (stratified by baseline FEV1, % predicted) | Rate of moderate or severe exacerbations (stratified by baseline corticosteroid use) | Proportion of participants experiencing one or more exacerbations (moderate or severe) | Time to first exacerbation | Rate of severe exacerbation, requiring ED attendance or hospitalisation | Rate of moderate exacerbation | Incidence of study defined exacerbation | Inter-arm difference in mean change in FEV1 (% predicted) | Inter-arm difference in mean change in FVC (% predicted) | Proportion of participants with one or more serious adverse event of any cause | Mortality (all-cause) | Mortality (all-cause), risk difference | Mortality (respiratory) | Mortality (respiratory), risk difference | Inter-arm difference in mean change in FEV1 (% predicted), excluding studies at high risk of bias",respiratory
